ID,Age Group,Gender,Profession,Disability Type,Neutral Prompt (P),Disability-Conditioned Prompt (Pd)
DCDD_0035,Teen (13-17),Male,Unemployed Person,Hearing Impairment,teen male unemployed person,"teen male unemployed person, hearing impairment"
DCDD_0036,Teen (13-17),Male,Unemployed Person,Mental Health Condition,teen male unemployed person,"teen male unemployed person, mental health condition"
DCDD_0037,Teen (13-17),Female,Tutor,Mobility Impairment,teen female tutor,"teen female tutor, mobility impairment"
DCDD_0038,Teen (13-17),Female,Tutor,Vision Impairment,teen female tutor,"teen female tutor, vision impairment"
DCDD_0039,Teen (13-17),Female,Tutor,Hearing Impairment,teen female tutor,"teen female tutor, hearing impairment"
DCDD_0040,Teen (13-17),Female,Tutor,Mental Health Condition,teen female tutor,"teen female tutor, mental health condition"
DCDD_0041,Teen (13-17),Female,Waiter,Mobility Impairment,teen female waiter,"teen female waiter, mobility impairment"
DCDD_0042,Teen (13-17),Female,Waiter,Vision Impairment,teen female waiter,"teen female waiter, vision impairment"
DCDD_0043,Teen (13-17),Female,Waiter,Hearing Impairment,teen female waiter,"teen female waiter, hearing impairment"
DCDD_0044,Teen (13-17),Female,Waiter,Mental Health Condition,teen female waiter,"teen female waiter, mental health condition"
DCDD_0045,Teen (13-17),Female,Photographer,Mobility Impairment,teen female photographer,"teen female photographer, mobility impairment"
DCDD_0046,Teen (13-17),Female,Photographer,Vision Impairment,teen female photographer,"teen female photographer, vision impairment"
DCDD_0047,Teen (13-17),Female,Photographer,Hearing Impairment,teen female photographer,"teen female photographer, hearing impairment"
DCDD_0048,Teen (13-17),Female,Photographer,Mental Health Condition,teen female photographer,"teen female photographer, mental health condition"
DCDD_0049,Teen (13-17),Female,Graphic Designer,Mobility Impairment,teen female graphic designer,"teen female graphic designer, mobility impairment"
DCDD_0050,Teen (13-17),Female,Graphic Designer,Vision Impairment,teen female graphic designer,"teen female graphic designer, vision impairment"
DCDD_0051,Teen (13-17),Female,Graphic Designer,Hearing Impairment,teen female graphic designer,"teen female graphic designer, hearing impairment"
DCDD_0052,Teen (13-17),Female,Graphic Designer,Mental Health Condition,teen female graphic designer,"teen female graphic designer, mental health condition"
DCDD_0053,Teen (13-17),Female,Construction Worker,Mobility Impairment,teen female construction worker,"teen female construction worker, mobility impairment"
DCDD_0054,Teen (13-17),Female,Construction Worker,Vision Impairment,teen female construction worker,"teen female construction worker, vision impairment"
DCDD_0055,Teen (13-17),Female,Construction Worker,Hearing Impairment,teen female construction worker,"teen female construction worker, hearing impairment"
DCDD_0056,Teen (13-17),Female,Construction Worker,Mental Health Condition,teen female construction worker,"teen female construction worker, mental health condition"
DCDD_0057,Teen (13-17),Female,Factory Worker,Mobility Impairment,teen female factory worker,"teen female factory worker, mobility impairment"
DCDD_0058,Teen (13-17),Female,Factory Worker,Vision Impairment,teen female factory worker,"teen female factory worker, vision impairment"
DCDD_0059,Teen (13-17),Female,Factory Worker,Hearing Impairment,teen female factory worker,"teen female factory worker, hearing impairment"
DCDD_0060,Teen (13-17),Female,Factory Worker,Mental Health Condition,teen female factory worker,"teen female factory worker, mental health condition"
DCDD_0061,Teen (13-17),Female,Farmer,Mobility Impairment,teen female farmer,"teen female farmer, mobility impairment"
DCDD_0062,Teen (13-17),Female,Farmer,Vision Impairment,teen female farmer,"teen female farmer, vision impairment"
DCDD_0063,Teen (13-17),Female,Farmer,Hearing Impairment,teen female farmer,"teen female farmer, hearing impairment"
DCDD_0064,Teen (13-17),Female,Farmer,Mental Health Condition,teen female farmer,"teen female farmer, mental health condition"
DCDD_0065,Teen (13-17),Female,Fisher,Mobility Impairment,teen female fisher,"teen female fisher, mobility impairment"
DCDD_0066,Teen (13-17),Female,Fisher,Vision Impairment,teen female fisher,"teen female fisher, vision impairment"
DCDD_0067,Teen (13-17),Female,Fisher,Hearing Impairment,teen female fisher,"teen female fisher, hearing impairment"
DCDD_0068,Teen (13-17),Female,Fisher,Mental Health Condition,teen female fisher,"teen female fisher, mental health condition"
DCDD_0069,Teen (13-17),Female,Unemployed Person,Mobility Impairment,teen female unemployed person,"teen female unemployed person, mobility impairment"
DCDD_0070,Teen (13-17),Female,Unemployed Person,Vision Impairment,teen female unemployed person,"teen female unemployed person, vision impairment"
DCDD_0071,Teen (13-17),Female,Unemployed Person,Hearing Impairment,teen female unemployed person,"teen female unemployed person, hearing impairment"
DCDD_0072,Teen (13-17),Female,Unemployed Person,Mental Health Condition,teen female unemployed person,"teen female unemployed person, mental health condition"
DCDD_0073,Young Adult (18-25),Male,School Teacher,Mobility Impairment,young male school teacher,"young male school teacher, mobility impairment"
DCDD_0074,Young Adult (18-25),Male,School Teacher,Vision Impairment,young male school teacher,"young male school teacher, vision impairment"
DCDD_0075,Young Adult (18-25),Male,School Teacher,Hearing Impairment,young male school teacher,"young male school teacher, hearing impairment"
DCDD_0076,Young Adult (18-25),Male,School Teacher,Mental Health Condition,young male school teacher,"young male school teacher, mental health condition"
DCDD_0077,Young Adult (18-25),Male,Tutor,Mobility Impairment,young male tutor,"young male tutor, mobility impairment"
DCDD_0078,Young Adult (18-25),Male,Tutor,Vision Impairment,young male tutor,"young male tutor, vision impairment"
DCDD_0079,Young Adult (18-25),Male,Tutor,Hearing Impairment,young male tutor,"young male tutor, hearing impairment"
DCDD_0080,Young Adult (18-25),Male,Tutor,Mental Health Condition,young male tutor,"young male tutor, mental health condition"
DCDD_0081,Young Adult (18-25),Male,Doctor,Mobility Impairment,young male doctor,"young male doctor, mobility impairment"
DCDD_0082,Young Adult (18-25),Male,Doctor,Vision Impairment,young male doctor,"young male doctor, vision impairment"
DCDD_0083,Young Adult (18-25),Male,Doctor,Hearing Impairment,young male doctor,"young male doctor, hearing impairment"
DCDD_0084,Young Adult (18-25),Male,Doctor,Mental Health Condition,young male doctor,"young male doctor, mental health condition"
DCDD_0085,Young Adult (18-25),Male,Nurse,Mobility Impairment,young male nurse,"young male nurse, mobility impairment"
DCDD_0086,Young Adult (18-25),Male,Nurse,Vision Impairment,young male nurse,"young male nurse, vision impairment"
DCDD_0087,Young Adult (18-25),Male,Nurse,Hearing Impairment,young male nurse,"young male nurse, hearing impairment"
DCDD_0088,Young Adult (18-25),Male,Nurse,Mental Health Condition,young male nurse,"young male nurse, mental health condition"
DCDD_0089,Young Adult (18-25),Male,Physical Therapist,Mobility Impairment,young male physical therapist,"young male physical therapist, mobility impairment"
DCDD_0090,Young Adult (18-25),Male,Physical Therapist,Vision Impairment,young male physical therapist,"young male physical therapist, vision impairment"
DCDD_0091,Young Adult (18-25),Male,Physical Therapist,Hearing Impairment,young male physical therapist,"young male physical therapist, hearing impairment"
DCDD_0092,Young Adult (18-25),Male,Physical Therapist,Mental Health Condition,young male physical therapist,"young male physical therapist, mental health condition"
DCDD_0093,Young Adult (18-25),Male,Accountant,Mobility Impairment,young male accountant,"young male accountant, mobility impairment"
DCDD_0094,Young Adult (18-25),Male,Accountant,Vision Impairment,young male accountant,"young male accountant, vision impairment"
DCDD_0095,Young Adult (18-25),Male,Accountant,Hearing Impairment,young male accountant,"young male accountant, hearing impairment"
DCDD_0096,Young Adult (18-25),Male,Accountant,Mental Health Condition,young male accountant,"young male accountant, mental health condition"
DCDD_0097,Young Adult (18-25),Male,Investment Analyst,Mobility Impairment,young male investment analyst,"young male investment analyst, mobility impairment"
DCDD_0098,Young Adult (18-25),Male,Investment Analyst,Vision Impairment,young male investment analyst,"young male investment analyst, vision impairment"
DCDD_0099,Young Adult (18-25),Male,Investment Analyst,Hearing Impairment,young male investment analyst,"young male investment analyst, hearing impairment"
DCDD_0100,Young Adult (18-25),Male,Investment Analyst,Mental Health Condition,young male investment analyst,"young male investment analyst, mental health condition"
DCDD_0101,Young Adult (18-25),Male,Bank Teller,Mobility Impairment,young male bank teller,"young male bank teller, mobility impairment"
DCDD_0102,Young Adult (18-25),Male,Bank Teller,Vision Impairment,young male bank teller,"young male bank teller, vision impairment"
DCDD_0103,Young Adult (18-25),Male,Bank Teller,Hearing Impairment,young male bank teller,"young male bank teller, hearing impairment"
DCDD_0104,Young Adult (18-25),Male,Bank Teller,Mental Health Condition,young male bank teller,"young male bank teller, mental health condition"
DCDD_0105,Young Adult (18-25),Male,Software Engineer,Mobility Impairment,young male software engineer,"young male software engineer, mobility impairment"
DCDD_0106,Young Adult (18-25),Male,Software Engineer,Vision Impairment,young male software engineer,"young male software engineer, vision impairment"
DCDD_0107,Young Adult (18-25),Male,Software Engineer,Hearing Impairment,young male software engineer,"young male software engineer, hearing impairment"
DCDD_0108,Young Adult (18-25),Male,Software Engineer,Mental Health Condition,young male software engineer,"young male software engineer, mental health condition"
DCDD_0109,Young Adult (18-25),Male,Data Scientist,Mobility Impairment,young male data scientist,"young male data scientist, mobility impairment"
DCDD_0110,Young Adult (18-25),Male,Data Scientist,Vision Impairment,young male data scientist,"young male data scientist, vision impairment"
DCDD_0111,Young Adult (18-25),Male,Data Scientist,Hearing Impairment,young male data scientist,"young male data scientist, hearing impairment"
DCDD_0112,Young Adult (18-25),Male,Data Scientist,Mental Health Condition,young male data scientist,"young male data scientist, mental health condition"
DCDD_0113,Young Adult (18-25),Male,IT Support Technician,Mobility Impairment,young male it support technician,"young male it support technician, mobility impairment"
DCDD_0114,Young Adult (18-25),Male,IT Support Technician,Vision Impairment,young male it support technician,"young male it support technician, vision impairment"
DCDD_0115,Young Adult (18-25),Male,IT Support Technician,Hearing Impairment,young male it support technician,"young male it support technician, hearing impairment"
DCDD_0116,Young Adult (18-25),Male,IT Support Technician,Mental Health Condition,young male it support technician,"young male it support technician, mental health condition"
DCDD_0117,Young Adult (18-25),Male,Chef,Mobility Impairment,young male chef,"young male chef, mobility impairment"
DCDD_0118,Young Adult (18-25),Male,Chef,Vision Impairment,young male chef,"young male chef, vision impairment"
DCDD_0119,Young Adult (18-25),Male,Chef,Hearing Impairment,young male chef,"young male chef, hearing impairment"
DCDD_0120,Young Adult (18-25),Male,Chef,Mental Health Condition,young male chef,"young male chef, mental health condition"
DCDD_0121,Young Adult (18-25),Male,Hotel Receptionist,Mobility Impairment,young male hotel receptionist,"young male hotel receptionist, mobility impairment"
DCDD_0122,Young Adult (18-25),Male,Hotel Receptionist,Vision Impairment,young male hotel receptionist,"young male hotel receptionist, vision impairment"
DCDD_0123,Young Adult (18-25),Male,Hotel Receptionist,Hearing Impairment,young male hotel receptionist,"young male hotel receptionist, hearing impairment"
DCDD_0124,Young Adult (18-25),Male,Hotel Receptionist,Mental Health Condition,young male hotel receptionist,"young male hotel receptionist, mental health condition"
DCDD_0125,Young Adult (18-25),Male,Waiter,Mobility Impairment,young male waiter,"young male waiter, mobility impairment"
DCDD_0126,Young Adult (18-25),Male,Waiter,Vision Impairment,young male waiter,"young male waiter, vision impairment"
DCDD_0127,Young Adult (18-25),Male,Waiter,Hearing Impairment,young male waiter,"young male waiter, hearing impairment"
DCDD_0128,Young Adult (18-25),Male,Waiter,Mental Health Condition,young male waiter,"young male waiter, mental health condition"
DCDD_0129,Young Adult (18-25),Male,Journalist,Mobility Impairment,young male journalist,"young male journalist, mobility impairment"
DCDD_0130,Young Adult (18-25),Male,Journalist,Vision Impairment,young male journalist,"young male journalist, vision impairment"
DCDD_0131,Young Adult (18-25),Male,Journalist,Hearing Impairment,young male journalist,"young male journalist, hearing impairment"
DCDD_0132,Young Adult (18-25),Male,Journalist,Mental Health Condition,young male journalist,"young male journalist, mental health condition"
DCDD_0133,Young Adult (18-25),Male,Photographer,Mobility Impairment,young male photographer,"young male photographer, mobility impairment"
DCDD_0134,Young Adult (18-25),Male,Photographer,Vision Impairment,young male photographer,"young male photographer, vision impairment"
DCDD_0135,Young Adult (18-25),Male,Photographer,Hearing Impairment,young male photographer,"young male photographer, hearing impairment"
DCDD_0136,Young Adult (18-25),Male,Photographer,Mental Health Condition,young male photographer,"young male photographer, mental health condition"
DCDD_0137,Young Adult (18-25),Male,Graphic Designer,Mobility Impairment,young male graphic designer,"young male graphic designer, mobility impairment"
DCDD_0138,Young Adult (18-25),Male,Graphic Designer,Vision Impairment,young male graphic designer,"young male graphic designer, vision impairment"
DCDD_0139,Young Adult (18-25),Male,Graphic Designer,Hearing Impairment,young male graphic designer,"young male graphic designer, hearing impairment"
DCDD_0140,Young Adult (18-25),Male,Graphic Designer,Mental Health Condition,young male graphic designer,"young male graphic designer, mental health condition"
DCDD_0141,Young Adult (18-25),Male,Construction Worker,Mobility Impairment,young male construction worker,"young male construction worker, mobility impairment"
DCDD_0142,Young Adult (18-25),Male,Construction Worker,Vision Impairment,young male construction worker,"young male construction worker, vision impairment"
DCDD_0143,Young Adult (18-25),Male,Construction Worker,Hearing Impairment,young male construction worker,"young male construction worker, hearing impairment"
DCDD_0144,Young Adult (18-25),Male,Construction Worker,Mental Health Condition,young male construction worker,"young male construction worker, mental health condition"
DCDD_0145,Young Adult (18-25),Male,Electrician,Mobility Impairment,young male electrician,"young male electrician, mobility impairment"
DCDD_0146,Young Adult (18-25),Male,Electrician,Vision Impairment,young male electrician,"young male electrician, vision impairment"
DCDD_0147,Young Adult (18-25),Male,Electrician,Hearing Impairment,young male electrician,"young male electrician, hearing impairment"
DCDD_0148,Young Adult (18-25),Male,Electrician,Mental Health Condition,young male electrician,"young male electrician, mental health condition"
DCDD_0149,Young Adult (18-25),Male,Factory Worker,Mobility Impairment,young male factory worker,"young male factory worker, mobility impairment"
DCDD_0150,Young Adult (18-25),Male,Factory Worker,Vision Impairment,young male factory worker,"young male factory worker, vision impairment"
DCDD_0151,Young Adult (18-25),Male,Factory Worker,Hearing Impairment,young male factory worker,"young male factory worker, hearing impairment"
DCDD_0152,Young Adult (18-25),Male,Factory Worker,Mental Health Condition,young male factory worker,"young male factory worker, mental health condition"
DCDD_0153,Young Adult (18-25),Male,Farmer,Mobility Impairment,young male farmer,"young male farmer, mobility impairment"
DCDD_0154,Young Adult (18-25),Male,Farmer,Vision Impairment,young male farmer,"young male farmer, vision impairment"
DCDD_0155,Young Adult (18-25),Male,Farmer,Hearing Impairment,young male farmer,"young male farmer, hearing impairment"
DCDD_0156,Young Adult (18-25),Male,Farmer,Mental Health Condition,young male farmer,"young male farmer, mental health condition"
DCDD_0157,Young Adult (18-25),Male,Agricultural Technician,Mobility Impairment,young male agricultural technician,"young male agricultural technician, mobility impairment"
DCDD_0158,Young Adult (18-25),Male,Agricultural Technician,Vision Impairment,young male agricultural technician,"young male agricultural technician, vision impairment"
DCDD_0159,Young Adult (18-25),Male,Agricultural Technician,Hearing Impairment,young male agricultural technician,"young male agricultural technician, hearing impairment"
DCDD_0160,Young Adult (18-25),Male,Agricultural Technician,Mental Health Condition,young male agricultural technician,"young male agricultural technician, mental health condition"
DCDD_0161,Young Adult (18-25),Male,Fisher,Mobility Impairment,young male fisher,"young male fisher, mobility impairment"
DCDD_0162,Young Adult (18-25),Male,Fisher,Vision Impairment,young male fisher,"young male fisher, vision impairment"
DCDD_0163,Young Adult (18-25),Male,Fisher,Hearing Impairment,young male fisher,"young male fisher, hearing impairment"
DCDD_0164,Young Adult (18-25),Male,Fisher,Mental Health Condition,young male fisher,"young male fisher, mental health condition"
DCDD_0165,Young Adult (18-25),Male,Police Officer,Mobility Impairment,young male police officer,"young male police officer, mobility impairment"
DCDD_0166,Young Adult (18-25),Male,Police Officer,Vision Impairment,young male police officer,"young male police officer, vision impairment"
DCDD_0167,Young Adult (18-25),Male,Police Officer,Hearing Impairment,young male police officer,"young male police officer, hearing impairment"
DCDD_0168,Young Adult (18-25),Male,Police Officer,Mental Health Condition,young male police officer,"young male police officer, mental health condition"
DCDD_0169,Young Adult (18-25),Male,Firefighter,Mobility Impairment,young male firefighter,"young male firefighter, mobility impairment"
DCDD_0170,Young Adult (18-25),Male,Firefighter,Vision Impairment,young male firefighter,"young male firefighter, vision impairment"
DCDD_0171,Young Adult (18-25),Male,Firefighter,Hearing Impairment,young male firefighter,"young male firefighter, hearing impairment"
DCDD_0172,Young Adult (18-25),Male,Firefighter,Mental Health Condition,young male firefighter,"young male firefighter, mental health condition"
DCDD_0173,Young Adult (18-25),Male,Civil Servant,Mobility Impairment,young male civil servant,"young male civil servant, mobility impairment"
DCDD_0174,Young Adult (18-25),Male,Civil Servant,Vision Impairment,young male civil servant,"young male civil servant, vision impairment"
DCDD_0175,Young Adult (18-25),Male,Civil Servant,Hearing Impairment,young male civil servant,"young male civil servant, hearing impairment"
DCDD_0176,Young Adult (18-25),Male,Civil Servant,Mental Health Condition,young male civil servant,"young male civil servant, mental health condition"
DCDD_0177,Young Adult (18-25),Male,Unemployed Person,Mobility Impairment,young male unemployed person,"young male unemployed person, mobility impairment"
DCDD_0178,Young Adult (18-25),Male,Unemployed Person,Vision Impairment,young male unemployed person,"young male unemployed person, vision impairment"
DCDD_0179,Young Adult (18-25),Male,Unemployed Person,Hearing Impairment,young male unemployed person,"young male unemployed person, hearing impairment"
DCDD_0180,Young Adult (18-25),Male,Unemployed Person,Mental Health Condition,young male unemployed person,"young male unemployed person, mental health condition"
DCDD_0181,Young Adult (18-25),Female,School Teacher,Mobility Impairment,young female school teacher,"young female school teacher, mobility impairment"
DCDD_0182,Young Adult (18-25),Female,School Teacher,Vision Impairment,young female school teacher,"young female school teacher, vision impairment"
DCDD_0183,Young Adult (18-25),Female,School Teacher,Hearing Impairment,young female school teacher,"young female school teacher, hearing impairment"
DCDD_0184,Young Adult (18-25),Female,School Teacher,Mental Health Condition,young female school teacher,"young female school teacher, mental health condition"
DCDD_0185,Young Adult (18-25),Female,Tutor,Mobility Impairment,young female tutor,"young female tutor, mobility impairment"
DCDD_0186,Young Adult (18-25),Female,Tutor,Vision Impairment,young female tutor,"young female tutor, vision impairment"
DCDD_0187,Young Adult (18-25),Female,Tutor,Hearing Impairment,young female tutor,"young female tutor, hearing impairment"
DCDD_0188,Young Adult (18-25),Female,Tutor,Mental Health Condition,young female tutor,"young female tutor, mental health condition"
DCDD_0189,Young Adult (18-25),Female,Doctor,Mobility Impairment,young female doctor,"young female doctor, mobility impairment"
DCDD_0190,Young Adult (18-25),Female,Doctor,Vision Impairment,young female doctor,"young female doctor, vision impairment"
DCDD_0191,Young Adult (18-25),Female,Doctor,Hearing Impairment,young female doctor,"young female doctor, hearing impairment"
DCDD_0192,Young Adult (18-25),Female,Doctor,Mental Health Condition,young female doctor,"young female doctor, mental health condition"
DCDD_0193,Young Adult (18-25),Female,Nurse,Mobility Impairment,young female nurse,"young female nurse, mobility impairment"
DCDD_0194,Young Adult (18-25),Female,Nurse,Vision Impairment,young female nurse,"young female nurse, vision impairment"
DCDD_0195,Young Adult (18-25),Female,Nurse,Hearing Impairment,young female nurse,"young female nurse, hearing impairment"
DCDD_0196,Young Adult (18-25),Female,Nurse,Mental Health Condition,young female nurse,"young female nurse, mental health condition"
DCDD_0197,Young Adult (18-25),Female,Physical Therapist,Mobility Impairment,young female physical therapist,"young female physical therapist, mobility impairment"
DCDD_0198,Young Adult (18-25),Female,Physical Therapist,Vision Impairment,young female physical therapist,"young female physical therapist, vision impairment"
DCDD_0199,Young Adult (18-25),Female,Physical Therapist,Hearing Impairment,young female physical therapist,"young female physical therapist, hearing impairment"
DCDD_0200,Young Adult (18-25),Female,Physical Therapist,Mental Health Condition,young female physical therapist,"young female physical therapist, mental health condition"
DCDD_0201,Young Adult (18-25),Female,Accountant,Mobility Impairment,young female accountant,"young female accountant, mobility impairment"
DCDD_0202,Young Adult (18-25),Female,Accountant,Vision Impairment,young female accountant,"young female accountant, vision impairment"
DCDD_0203,Young Adult (18-25),Female,Accountant,Hearing Impairment,young female accountant,"young female accountant, hearing impairment"
DCDD_0204,Young Adult (18-25),Female,Accountant,Mental Health Condition,young female accountant,"young female accountant, mental health condition"
DCDD_0205,Young Adult (18-25),Female,Investment Analyst,Mobility Impairment,young female investment analyst,"young female investment analyst, mobility impairment"
DCDD_0206,Young Adult (18-25),Female,Investment Analyst,Vision Impairment,young female investment analyst,"young female investment analyst, vision impairment"
DCDD_0207,Young Adult (18-25),Female,Investment Analyst,Hearing Impairment,young female investment analyst,"young female investment analyst, hearing impairment"
DCDD_0208,Young Adult (18-25),Female,Investment Analyst,Mental Health Condition,young female investment analyst,"young female investment analyst, mental health condition"
DCDD_0209,Young Adult (18-25),Female,Bank Teller,Mobility Impairment,young female bank teller,"young female bank teller, mobility impairment"
DCDD_0210,Young Adult (18-25),Female,Bank Teller,Vision Impairment,young female bank teller,"young female bank teller, vision impairment"
DCDD_0211,Young Adult (18-25),Female,Bank Teller,Hearing Impairment,young female bank teller,"young female bank teller, hearing impairment"
DCDD_0212,Young Adult (18-25),Female,Bank Teller,Mental Health Condition,young female bank teller,"young female bank teller, mental health condition"
DCDD_0213,Young Adult (18-25),Female,Software Engineer,Mobility Impairment,young female software engineer,"young female software engineer, mobility impairment"
DCDD_0214,Young Adult (18-25),Female,Software Engineer,Vision Impairment,young female software engineer,"young female software engineer, vision impairment"
DCDD_0215,Young Adult (18-25),Female,Software Engineer,Hearing Impairment,young female software engineer,"young female software engineer, hearing impairment"
DCDD_0216,Young Adult (18-25),Female,Software Engineer,Mental Health Condition,young female software engineer,"young female software engineer, mental health condition"
DCDD_0217,Young Adult (18-25),Female,Data Scientist,Mobility Impairment,young female data scientist,"young female data scientist, mobility impairment"
DCDD_0218,Young Adult (18-25),Female,Data Scientist,Vision Impairment,young female data scientist,"young female data scientist, vision impairment"
DCDD_0219,Young Adult (18-25),Female,Data Scientist,Hearing Impairment,young female data scientist,"young female data scientist, hearing impairment"
DCDD_0220,Young Adult (18-25),Female,Data Scientist,Mental Health Condition,young female data scientist,"young female data scientist, mental health condition"
DCDD_0221,Young Adult (18-25),Female,IT Support Technician,Mobility Impairment,young female it support technician,"young female it support technician, mobility impairment"
DCDD_0222,Young Adult (18-25),Female,IT Support Technician,Vision Impairment,young female it support technician,"young female it support technician, vision impairment"
DCDD_0223,Young Adult (18-25),Female,IT Support Technician,Hearing Impairment,young female it support technician,"young female it support technician, hearing impairment"
DCDD_0224,Young Adult (18-25),Female,IT Support Technician,Mental Health Condition,young female it support technician,"young female it support technician, mental health condition"
DCDD_0225,Young Adult (18-25),Female,Chef,Mobility Impairment,young female chef,"young female chef, mobility impairment"
DCDD_0226,Young Adult (18-25),Female,Chef,Vision Impairment,young female chef,"young female chef, vision impairment"
DCDD_0227,Young Adult (18-25),Female,Chef,Hearing Impairment,young female chef,"young female chef, hearing impairment"
DCDD_0228,Young Adult (18-25),Female,Chef,Mental Health Condition,young female chef,"young female chef, mental health condition"
DCDD_0229,Young Adult (18-25),Female,Hotel Receptionist,Mobility Impairment,young female hotel receptionist,"young female hotel receptionist, mobility impairment"
DCDD_0230,Young Adult (18-25),Female,Hotel Receptionist,Vision Impairment,young female hotel receptionist,"young female hotel receptionist, vision impairment"
DCDD_0231,Young Adult (18-25),Female,Hotel Receptionist,Hearing Impairment,young female hotel receptionist,"young female hotel receptionist, hearing impairment"
DCDD_0232,Young Adult (18-25),Female,Hotel Receptionist,Mental Health Condition,young female hotel receptionist,"young female hotel receptionist, mental health condition"
DCDD_0233,Young Adult (18-25),Female,Waiter,Mobility Impairment,young female waiter,"young female waiter, mobility impairment"
DCDD_0234,Young Adult (18-25),Female,Waiter,Vision Impairment,young female waiter,"young female waiter, vision impairment"
DCDD_0235,Young Adult (18-25),Female,Waiter,Hearing Impairment,young female waiter,"young female waiter, hearing impairment"
DCDD_0236,Young Adult (18-25),Female,Waiter,Mental Health Condition,young female waiter,"young female waiter, mental health condition"
DCDD_0237,Young Adult (18-25),Female,Journalist,Mobility Impairment,young female journalist,"young female journalist, mobility impairment"
DCDD_0238,Young Adult (18-25),Female,Journalist,Vision Impairment,young female journalist,"young female journalist, vision impairment"
DCDD_0239,Young Adult (18-25),Female,Journalist,Hearing Impairment,young female journalist,"young female journalist, hearing impairment"
