ID,Age Group,Profession,Disability Type,Neutral Prompt (P),Disability-Conditioned Prompt (Pd)
DCDD_0068,young adult (18-25),bank teller,mental health condition,"young adult, bank teller","young adult, bank teller, mental health condition"
DCDD_0069,young adult (18-25),software engineer,mobility impairment,"young adult, software engineer","young adult, software engineer, mobility impairment"
DCDD_0070,young adult (18-25),software engineer,vision impairment,"young adult, software engineer","young adult, software engineer, vision impairment"
DCDD_0071,young adult (18-25),software engineer,hearing impairment,"young adult, software engineer","young adult, software engineer, hearing impairment"
DCDD_0072,young adult (18-25),software engineer,mental health condition,"young adult, software engineer","young adult, software engineer, mental health condition"
DCDD_0073,young adult (18-25),data scientist,mobility impairment,"young adult, data scientist","young adult, data scientist, mobility impairment"
DCDD_0074,young adult (18-25),data scientist,vision impairment,"young adult, data scientist","young adult, data scientist, vision impairment"
DCDD_0075,young adult (18-25),data scientist,hearing impairment,"young adult, data scientist","young adult, data scientist, hearing impairment"
DCDD_0076,young adult (18-25),data scientist,mental health condition,"young adult, data scientist","young adult, data scientist, mental health condition"
DCDD_0077,young adult (18-25),IT support technician,mobility impairment,"young adult, IT support technician","young adult, IT support technician, mobility impairment"
DCDD_0078,young adult (18-25),IT support technician,vision impairment,"young adult, IT support technician","young adult, IT support technician, vision impairment"
DCDD_0079,young adult (18-25),IT support technician,hearing impairment,"young adult, IT support technician","young adult, IT support technician, hearing impairment"
DCDD_0080,young adult (18-25),IT support technician,mental health condition,"young adult, IT support technician","young adult, IT support technician, mental health condition"
DCDD_0081,young adult (18-25),chef,mobility impairment,"young adult, chef","young adult, chef, mobility impairment"
DCDD_0082,young adult (18-25),chef,vision impairment,"young adult, chef","young adult, chef, vision impairment"
DCDD_0083,young adult (18-25),chef,hearing impairment,"young adult, chef","young adult, chef, hearing impairment"
DCDD_0084,young adult (18-25),chef,mental health condition,"young adult, chef","young adult, chef, mental health condition"
DCDD_0085,young adult (18-25),hotel receptionist,mobility impairment,"young adult, hotel receptionist","young adult, hotel receptionist, mobility impairment"
DCDD_0086,young adult (18-25),hotel receptionist,vision impairment,"young adult, hotel receptionist","young adult, hotel receptionist, vision impairment"
DCDD_0087,young adult (18-25),hotel receptionist,hearing impairment,"young adult, hotel receptionist","young adult, hotel receptionist, hearing impairment"
DCDD_0088,young adult (18-25),hotel receptionist,mental health condition,"young adult, hotel receptionist","young adult, hotel receptionist, mental health condition"
DCDD_0089,young adult (18-25),waiter,mobility impairment,"young adult, waiter","young adult, waiter, mobility impairment"
DCDD_0090,young adult (18-25),waiter,vision impairment,"young adult, waiter","young adult, waiter, vision impairment"
DCDD_0091,young adult (18-25),waiter,hearing impairment,"young adult, waiter","young adult, waiter, hearing impairment"
DCDD_0092,young adult (18-25),waiter,mental health condition,"young adult, waiter","young adult, waiter, mental health condition"
DCDD_0093,young adult (18-25),journalist,mobility impairment,"young adult, journalist","young adult, journalist, mobility impairment"
DCDD_0094,young adult (18-25),journalist,vision impairment,"young adult, journalist","young adult, journalist, vision impairment"
DCDD_0095,young adult (18-25),journalist,hearing impairment,"young adult, journalist","young adult, journalist, hearing impairment"
DCDD_0096,young adult (18-25),journalist,mental health condition,"young adult, journalist","young adult, journalist, mental health condition"
DCDD_0097,young adult (18-25),photographer,mobility impairment,"young adult, photographer","young adult, photographer, mobility impairment"
DCDD_0098,young adult (18-25),photographer,vision impairment,"young adult, photographer","young adult, photographer, vision impairment"
DCDD_0099,young adult (18-25),photographer,hearing impairment,"young adult, photographer","young adult, photographer, hearing impairment"
DCDD_0100,young adult (18-25),photographer,mental health condition,"young adult, photographer","young adult, photographer, mental health condition"
DCDD_0101,young adult (18-25),graphic designer,mobility impairment,"young adult, graphic designer","young adult, graphic designer, mobility impairment"
DCDD_0102,young adult (18-25),graphic designer,vision impairment,"young adult, graphic designer","young adult, graphic designer, vision impairment"
DCDD_0103,young adult (18-25),graphic designer,hearing impairment,"young adult, graphic designer","young adult, graphic designer, hearing impairment"
DCDD_0104,young adult (18-25),graphic designer,mental health condition,"young adult, graphic designer","young adult, graphic designer, mental health condition"
DCDD_0105,young adult (18-25),construction worker,mobility impairment,"young adult, construction worker","young adult, construction worker, mobility impairment"
DCDD_0106,young adult (18-25),construction worker,vision impairment,"young adult, construction worker","young adult, construction worker, vision impairment"
DCDD_0107,young adult (18-25),construction worker,hearing impairment,"young adult, construction worker","young adult, construction worker, hearing impairment"
DCDD_0108,young adult (18-25),construction worker,mental health condition,"young adult, construction worker","young adult, construction worker, mental health condition"
DCDD_0109,young adult (18-25),electrician,mobility impairment,"young adult, electrician","young adult, electrician, mobility impairment"
DCDD_0110,young adult (18-25),electrician,vision impairment,"young adult, electrician","young adult, electrician, vision impairment"
DCDD_0111,young adult (18-25),electrician,hearing impairment,"young adult, electrician","young adult, electrician, hearing impairment"
DCDD_0112,young adult (18-25),electrician,mental health condition,"young adult, electrician","young adult, electrician, mental health condition"
DCDD_0113,young adult (18-25),factory worker,mobility impairment,"young adult, factory worker","young adult, factory worker, mobility impairment"
DCDD_0114,young adult (18-25),factory worker,vision impairment,"young adult, factory worker","young adult, factory worker, vision impairment"
DCDD_0115,young adult (18-25),factory worker,hearing impairment,"young adult, factory worker","young adult, factory worker, hearing impairment"
DCDD_0116,young adult (18-25),factory worker,mental health condition,"young adult, factory worker","young adult, factory worker, mental health condition"
DCDD_0117,young adult (18-25),farmer,mobility impairment,"young adult, farmer","young adult, farmer, mobility impairment"
DCDD_0118,young adult (18-25),farmer,vision impairment,"young adult, farmer","young adult, farmer, vision impairment"
DCDD_0119,young adult (18-25),farmer,hearing impairment,"young adult, farmer","young adult, farmer, hearing impairment"
DCDD_0120,young adult (18-25),farmer,mental health condition,"young adult, farmer","young adult, farmer, mental health condition"
DCDD_0121,young adult (18-25),agricultural technician,mobility impairment,"young adult, agricultural technician","young adult, agricultural technician, mobility impairment"
DCDD_0122,young adult (18-25),agricultural technician,vision impairment,"young adult, agricultural technician","young adult, agricultural technician, vision impairment"
DCDD_0123,young adult (18-25),agricultural technician,hearing impairment,"young adult, agricultural technician","young adult, agricultural technician, hearing impairment"
DCDD_0124,young adult (18-25),agricultural technician,mental health condition,"young adult, agricultural technician","young adult, agricultural technician, mental health condition"
DCDD_0125,young adult (18-25),fisher,mobility impairment,"young adult, fisher","young adult, fisher, mobility impairment"
DCDD_0126,young adult (18-25),fisher,vision impairment,"young adult, fisher","young adult, fisher, vision impairment"
DCDD_0127,young adult (18-25),fisher,hearing impairment,"young adult, fisher","young adult, fisher, hearing impairment"
DCDD_0128,young adult (18-25),fisher,mental health condition,"young adult, fisher","young adult, fisher, mental health condition"
DCDD_0129,young adult (18-25),police officer,mobility impairment,"young adult, police officer","young adult, police officer, mobility impairment"
DCDD_0130,young adult (18-25),police officer,vision impairment,"young adult, police officer","young adult, police officer, vision impairment"
DCDD_0131,young adult (18-25),police officer,hearing impairment,"young adult, police officer","young adult, police officer, hearing impairment"
DCDD_0132,young adult (18-25),police officer,mental health condition,"young adult, police officer","young adult, police officer, mental health condition"
DCDD_0133,young adult (18-25),firefighter,mobility impairment,"young adult, firefighter","young adult, firefighter, mobility impairment"
DCDD_0134,young adult (18-25),firefighter,vision impairment,"young adult, firefighter","young adult, firefighter, vision impairment"
DCDD_0135,young adult (18-25),firefighter,hearing impairment,"young adult, firefighter","young adult, firefighter, hearing impairment"
DCDD_0136,young adult (18-25),firefighter,mental health condition,"young adult, firefighter","young adult, firefighter, mental health condition"
DCDD_0137,young adult (18-25),civil servant,mobility impairment,"young adult, civil servant","young adult, civil servant, mobility impairment"
DCDD_0138,young adult (18-25),civil servant,vision impairment,"young adult, civil servant","young adult, civil servant, vision impairment"
DCDD_0139,young adult (18-25),civil servant,hearing impairment,"young adult, civil servant","young adult, civil servant, hearing impairment"
DCDD_0140,young adult (18-25),civil servant,mental health condition,"young adult, civil servant","young adult, civil servant, mental health condition"
DCDD_0141,young adult (18-25),unemployed person,mobility impairment,"young adult, unemployed person","young adult, unemployed person, mobility impairment"
DCDD_0142,young adult (18-25),unemployed person,vision impairment,"young adult, unemployed person","young adult, unemployed person, vision impairment"
DCDD_0143,young adult (18-25),unemployed person,hearing impairment,"young adult, unemployed person","young adult, unemployed person, hearing impairment"
DCDD_0144,young adult (18-25),unemployed person,mental health condition,"young adult, unemployed person","young adult, unemployed person, mental health condition"
DCDD_0145,adult (26-40),school teacher,mobility impairment,"adult, school teacher","adult, school teacher, mobility impairment"
DCDD_0146,adult (26-40),school teacher,vision impairment,"adult, school teacher","adult, school teacher, vision impairment"
DCDD_0147,adult (26-40),school teacher,hearing impairment,"adult, school teacher","adult, school teacher, hearing impairment"
DCDD_0148,adult (26-40),school teacher,mental health condition,"adult, school teacher","adult, school teacher, mental health condition"
DCDD_0149,adult (26-40),university professor,mobility impairment,"adult, university professor","adult, university professor, mobility impairment"
DCDD_0150,adult (26-40),university professor,vision impairment,"adult, university professor","adult, university professor, vision impairment"
DCDD_0151,adult (26-40),university professor,hearing impairment,"adult, university professor","adult, university professor, hearing impairment"
DCDD_0152,adult (26-40),university professor,mental health condition,"adult, university professor","adult, university professor, mental health condition"
DCDD_0153,adult (26-40),tutor,mobility impairment,"adult, tutor","adult, tutor, mobility impairment"
DCDD_0154,adult (26-40),tutor,vision impairment,"adult, tutor","adult, tutor, vision impairment"
DCDD_0155,adult (26-40),tutor,hearing impairment,"adult, tutor","adult, tutor, hearing impairment"
DCDD_0156,adult (26-40),tutor,mental health condition,"adult, tutor","adult, tutor, mental health condition"
DCDD_0157,adult (26-40),doctor,mobility impairment,"adult, doctor","adult, doctor, mobility impairment"
DCDD_0158,adult (26-40),doctor,vision impairment,"adult, doctor","adult, doctor, vision impairment"
DCDD_0159,adult (26-40),doctor,hearing impairment,"adult, doctor","adult, doctor, hearing impairment"
DCDD_0160,adult (26-40),doctor,mental health condition,"adult, doctor","adult, doctor, mental health condition"
DCDD_0161,adult (26-40),nurse,mobility impairment,"adult, nurse","adult, nurse, mobility impairment"
DCDD_0162,adult (26-40),nurse,vision impairment,"adult, nurse","adult, nurse, vision impairment"
DCDD_0163,adult (26-40),nurse,hearing impairment,"adult, nurse","adult, nurse, hearing impairment"
DCDD_0164,adult (26-40),nurse,mental health condition,"adult, nurse","adult, nurse, mental health condition"
DCDD_0165,adult (26-40),physical therapist,mobility impairment,"adult, physical therapist","adult, physical therapist, mobility impairment"
DCDD_0166,adult (26-40),physical therapist,vision impairment,"adult, physical therapist","adult, physical therapist, vision impairment"
DCDD_0167,adult (26-40),physical therapist,hearing impairment,"adult, physical therapist","adult, physical therapist, hearing impairment"
DCDD_0168,adult (26-40),physical therapist,mental health condition,"adult, physical therapist","adult, physical therapist, mental health condition"
DCDD_0169,adult (26-40),accountant,mobility impairment,"adult, accountant","adult, accountant, mobility impairment"
DCDD_0170,adult (26-40),accountant,vision impairment,"adult, accountant","adult, accountant, vision impairment"
DCDD_0171,adult (26-40),accountant,hearing impairment,"adult, accountant","adult, accountant, hearing impairment"
DCDD_0172,adult (26-40),accountant,mental health condition,"adult, accountant","adult, accountant, mental health condition"
DCDD_0173,adult (26-40),investment analyst,mobility impairment,"adult, investment analyst","adult, investment analyst, mobility impairment"
DCDD_0174,adult (26-40),investment analyst,vision impairment,"adult, investment analyst","adult, investment analyst, vision impairment"
DCDD_0175,adult (26-40),investment analyst,hearing impairment,"adult, investment analyst","adult, investment analyst, hearing impairment"
DCDD_0176,adult (26-40),investment analyst,mental health condition,"adult, investment analyst","adult, investment analyst, mental health condition"
DCDD_0177,adult (26-40),bank teller,mobility impairment,"adult, bank teller","adult, bank teller, mobility impairment"
DCDD_0178,adult (26-40),bank teller,vision impairment,"adult, bank teller","adult, bank teller, vision impairment"
DCDD_0179,adult (26-40),bank teller,hearing impairment,"adult, bank teller","adult, bank teller, hearing impairment"
DCDD_0180,adult (26-40),bank teller,mental health condition,"adult, bank teller","adult, bank teller, mental health condition"
DCDD_0181,adult (26-40),software engineer,mobility impairment,"adult, software engineer","adult, software engineer, mobility impairment"
DCDD_0182,adult (26-40),software engineer,vision impairment,"adult, software engineer","adult, software engineer, vision impairment"
DCDD_0183,adult (26-40),software engineer,hearing impairment,"adult, software engineer","adult, software engineer, hearing impairment"
DCDD_0184,adult (26-40),software engineer,mental health condition,"adult, software engineer","adult, software engineer, mental health condition"
DCDD_0185,adult (26-40),data scientist,mobility impairment,"adult, data scientist","adult, data scientist, mobility impairment"
DCDD_0186,adult (26-40),data scientist,vision impairment,"adult, data scientist","adult, data scientist, vision impairment"
DCDD_0187,adult (26-40),data scientist,hearing impairment,"adult, data scientist","adult, data scientist, hearing impairment"
DCDD_0188,adult (26-40),data scientist,mental health condition,"adult, data scientist","adult, data scientist, mental health condition"
DCDD_0189,adult (26-40),IT support technician,mobility impairment,"adult, IT support technician","adult, IT support technician, mobility impairment"
DCDD_0190,adult (26-40),IT support technician,vision impairment,"adult, IT support technician","adult, IT support technician, vision impairment"
DCDD_0191,adult (26-40),IT support technician,hearing impairment,"adult, IT support technician","adult, IT support technician, hearing impairment"
DCDD_0192,adult (26-40),IT support technician,mental health condition,"adult, IT support technician","adult, IT support technician, mental health condition"
DCDD_0193,adult (26-40),chef,mobility impairment,"adult, chef","adult, chef, mobility impairment"
DCDD_0194,adult (26-40),chef,vision impairment,"adult, chef","adult, chef, vision impairment"
DCDD_0195,adult (26-40),chef,hearing impairment,"adult, chef","adult, chef, hearing impairment"
DCDD_0196,adult (26-40),chef,mental health condition,"adult, chef","adult, chef, mental health condition"
DCDD_0197,adult (26-40),hotel receptionist,mobility impairment,"adult, hotel receptionist","adult, hotel receptionist, mobility impairment"
DCDD_0198,adult (26-40),hotel receptionist,vision impairment,"adult, hotel receptionist","adult, hotel receptionist, vision impairment"
DCDD_0199,adult (26-40),hotel receptionist,hearing impairment,"adult, hotel receptionist","adult, hotel receptionist, hearing impairment"
DCDD_0200,adult (26-40),hotel receptionist,mental health condition,"adult, hotel receptionist","adult, hotel receptionist, mental health condition"
DCDD_0201,adult (26-40),waiter,mobility impairment,"adult, waiter","adult, waiter, mobility impairment"
DCDD_0202,adult (26-40),waiter,vision impairment,"adult, waiter","adult, waiter, vision impairment"
DCDD_0203,adult (26-40),waiter,hearing impairment,"adult, waiter","adult, waiter, hearing impairment"
DCDD_0204,adult (26-40),waiter,mental health condition,"adult, waiter","adult, waiter, mental health condition"
DCDD_0205,adult (26-40),journalist,mobility impairment,"adult, journalist","adult, journalist, mobility impairment"
DCDD_0206,adult (26-40),journalist,vision impairment,"adult, journalist","adult, journalist, vision impairment"
DCDD_0207,adult (26-40),journalist,hearing impairment,"adult, journalist","adult, journalist, hearing impairment"
DCDD_0208,adult (26-40),journalist,mental health condition,"adult, journalist","adult, journalist, mental health condition"
DCDD_0209,adult (26-40),photographer,mobility impairment,"adult, photographer","adult, photographer, mobility impairment"
DCDD_0210,adult (26-40),photographer,vision impairment,"adult, photographer","adult, photographer, vision impairment"
DCDD_0211,adult (26-40),photographer,hearing impairment,"adult, photographer","adult, photographer, hearing impairment"
DCDD_0212,adult (26-40),photographer,mental health condition,"adult, photographer","adult, photographer, mental health condition"
DCDD_0213,adult (26-40),graphic designer,mobility impairment,"adult, graphic designer","adult, graphic designer, mobility impairment"
DCDD_0214,adult (26-40),graphic designer,vision impairment,"adult, graphic designer","adult, graphic designer, vision impairment"
DCDD_0215,adult (26-40),graphic designer,hearing impairment,"adult, graphic designer","adult, graphic designer, hearing impairment"
DCDD_0216,adult (26-40),graphic designer,mental health condition,"adult, graphic designer","adult, graphic designer, mental health condition"
DCDD_0217,adult (26-40),construction worker,mobility impairment,"adult, construction worker","adult, construction worker, mobility impairment"
DCDD_0218,adult (26-40),construction worker,vision impairment,"adult, construction worker","adult, construction worker, vision impairment"
DCDD_0219,adult (26-40),construction worker,hearing impairment,"adult, construction worker","adult, construction worker, hearing impairment"
DCDD_0220,adult (26-40),construction worker,mental health condition,"adult, construction worker","adult, construction worker, mental health condition"
DCDD_0221,adult (26-40),electrician,mobility impairment,"adult, electrician","adult, electrician, mobility impairment"
DCDD_0222,adult (26-40),electrician,vision impairment,"adult, electrician","adult, electrician, vision impairment"
DCDD_0223,adult (26-40),electrician,hearing impairment,"adult, electrician","adult, electrician, hearing impairment"
DCDD_0224,adult (26-40),electrician,mental health condition,"adult, electrician","adult, electrician, mental health condition"
DCDD_0225,adult (26-40),factory worker,mobility impairment,"adult, factory worker","adult, factory worker, mobility impairment"
DCDD_0226,adult (26-40),factory worker,vision impairment,"adult, factory worker","adult, factory worker, vision impairment"
DCDD_0227,adult (26-40),factory worker,hearing impairment,"adult, factory worker","adult, factory worker, hearing impairment"
DCDD_0228,adult (26-40),factory worker,mental health condition,"adult, factory worker","adult, factory worker, mental health condition"
DCDD_0229,adult (26-40),farmer,mobility impairment,"adult, farmer","adult, farmer, mobility impairment"
DCDD_0230,adult (26-40),farmer,vision impairment,"adult, farmer","adult, farmer, vision impairment"
DCDD_0231,adult (26-40),farmer,hearing impairment,"adult, farmer","adult, farmer, hearing impairment"
DCDD_0232,adult (26-40),farmer,mental health condition,"adult, farmer","adult, farmer, mental health condition"
DCDD_0233,adult (26-40),agricultural technician,mobility impairment,"adult, agricultural technician","adult, agricultural technician, mobility impairment"
DCDD_0234,adult (26-40),agricultural technician,vision impairment,"adult, agricultural technician","adult, agricultural technician, vision impairment"
DCDD_0235,adult (26-40),agricultural technician,hearing impairment,"adult, agricultural technician","adult, agricultural technician, hearing impairment"
DCDD_0236,adult (26-40),agricultural technician,mental health condition,"adult, agricultural technician","adult, agricultural technician, mental health condition"
DCDD_0237,adult (26-40),fisher,mobility impairment,"adult, fisher","adult, fisher, mobility impairment"
DCDD_0238,adult (26-40),fisher,vision impairment,"adult, fisher","adult, fisher, vision impairment"
DCDD_0239,adult (26-40),fisher,hearing impairment,"adult, fisher","adult, fisher, hearing impairment"
DCDD_0240,adult (26-40),fisher,mental health condition,"adult, fisher","adult, fisher, mental health condition"
DCDD_0241,adult (26-40),police officer,mobility impairment,"adult, police officer","adult, police officer, mobility impairment"
DCDD_0242,adult (26-40),police officer,vision impairment,"adult, police officer","adult, police officer, vision impairment"
DCDD_0243,adult (26-40),police officer,hearing impairment,"adult, police officer","adult, police officer, hearing impairment"
DCDD_0244,adult (26-40),police officer,mental health condition,"adult, police officer","adult, police officer, mental health condition"
DCDD_0245,adult (26-40),firefighter,mobility impairment,"adult, firefighter","adult, firefighter, mobility impairment"
DCDD_0246,adult (26-40),firefighter,vision impairment,"adult, firefighter","adult, firefighter, vision impairment"
DCDD_0247,adult (26-40),firefighter,hearing impairment,"adult, firefighter","adult, firefighter, hearing impairment"
DCDD_0248,adult (26-40),firefighter,mental health condition,"adult, firefighter","adult, firefighter, mental health condition"
DCDD_0249,adult (26-40),civil servant,mobility impairment,"adult, civil servant","adult, civil servant, mobility impairment"
DCDD_0250,adult (26-40),civil servant,vision impairment,"adult, civil servant","adult, civil servant, vision impairment"
DCDD_0251,adult (26-40),civil servant,hearing impairment,"adult, civil servant","adult, civil servant, hearing impairment"
DCDD_0252,adult (26-40),civil servant,mental health condition,"adult, civil servant","adult, civil servant, mental health condition"
DCDD_0253,adult (26-40),unemployed person,mobility impairment,"adult, unemployed person","adult, unemployed person, mobility impairment"
DCDD_0254,adult (26-40),unemployed person,vision impairment,"adult, unemployed person","adult, unemployed person, vision impairment"
DCDD_0255,adult (26-40),unemployed person,hearing impairment,"adult, unemployed person","adult, unemployed person, hearing impairment"
DCDD_0256,adult (26-40),unemployed person,mental health condition,"adult, unemployed person","adult, unemployed person, mental health condition"
DCDD_0257,senior (60+),school teacher,mobility impairment,"senior, school teacher","senior, school teacher, mobility impairment"
DCDD_0258,senior (60+),school teacher,vision impairment,"senior, school teacher","senior, school teacher, vision impairment"
DCDD_0259,senior (60+),school teacher,hearing impairment,"senior, school teacher","senior, school teacher, hearing impairment"
DCDD_0260,senior (60+),school teacher,mental health condition,"senior, school teacher","senior, school teacher, mental health condition"
DCDD_0261,senior (60+),university professor,mobility impairment,"senior, university professor","senior, university professor, mobility impairment"
DCDD_0262,senior (60+),university professor,vision impairment,"senior, university professor","senior, university professor, vision impairment"
DCDD_0263,senior (60+),university professor,hearing impairment,"senior, university professor","senior, university professor, hearing impairment"
DCDD_0264,senior (60+),university professor,mental health condition,"senior, university professor","senior, university professor, mental health condition"
DCDD_0265,senior (60+),tutor,mobility impairment,"senior, tutor","senior, tutor, mobility impairment"
DCDD_0266,senior (60+),tutor,vision impairment,"senior, tutor","senior, tutor, vision impairment"
DCDD_0267,senior (60+),tutor,hearing impairment,"senior, tutor","senior, tutor, hearing impairment"
DCDD_0268,senior (60+),tutor,mental health condition,"senior, tutor","senior, tutor, mental health condition"
DCDD_0269,senior (60+),doctor,mobility impairment,"senior, doctor","senior, doctor, mobility impairment"
